"﻿""証券コード""",CSV略称,正式企業名(和),Qr1略称(和),カナ,正式企業名(英),略称(英),FACTSET業種,旧社名・旧商号,EDINETコード,新証券コード,協会業種,日経業種(小分類),優先市場,配信開始日,売買単位,発行済株式総数,HPアドレス,決算期,配当基準日,決算発表予定日,決算発表履歴,日経業種（中分類）_抽出,上場市場名_抽出,指数採用_抽出
6371,椿本チ,椿本チエイン,椿本チ,ﾂﾊﾞｷﾓﾄﾁｴｲﾝ,TSUBAKIMOTO CHAIN CO.,TUBACHN,産業機械,"椿本ｶｽﾀﾑﾁｴﾝ
ﾂﾊﾞｷ山久ﾁｴｲﾝ
椿本ﾏｼﾅﾘｰ
大同工業
椿本チエイン",E01578,353540000,機械,運搬建設内燃,東証,データなし,100,"106,213,279",http://www.tsubakimoto.jp/,3/末,9/末 3/末,3Q連: 2026/02/06 15:00,"1Q: 2025/07/30
2Q: 2025/10/31
3Q: 2025/02/07
通期: 2025/05/14",機械,東証ﾌﾟﾗｲﾑ,日経300
6376,日機装,日機装,日機装,ﾆｯｷｿｳ,"NIKKISO CO., LTD.",NIKKISO,産業機械,,E01591,366800000,精密機器,計器・その他,東証,データなし,100,"69,175,664",http://www.nikkiso.co.jp/,12/末,6/末 12/末,本連: 2026/02/13 15:00,"1Q: 2025/05/15
2Q: 2025/08/14
3Q: 2025/11/14
通期: 2025/02/14",精密機器,東証ﾌﾟﾗｲﾑ,
6378,木村化,木村化工機,木村化,ｷﾑﾗｶｺｳｷ,"KIMURA CHEMICAL PLANTS CO., LTD.",KIMURA,産業機械,,E01546,324200000,機械,化工機械,東証,データなし,100,"20,600,000",http://www.kcpc.co.jp/,3/末,3/末,3Q連: 2026/02/06 16:00,"1Q: 2025/08/08
2Q: 2025/11/07
3Q: 2025/02/07
通期: 2025/05/09",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6379,ﾚｲｽﾞﾈｸｽﾄ,レイズネクスト,レイズネク,ﾚｲｽﾞﾈｸｽﾄ,RAIZNEXT CORP.,RAIZNEXT,建設・土木,"JXｴﾝｼﾞﾆｱﾘﾝｸﾞ
レイズネクスト
新興プランテック
三興製作所",E01577,333160000,建設業,その他建設,東証,データなし,100,"54,168,053",https://www.raiznext.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/13 14:00,"1Q: 2025/08/08
2Q: 2025/11/13
3Q: 2025/02/14
通期: 2025/05/14",建設,東証ﾌﾟﾗｲﾑ,
6380,ｵﾘﾁｴﾝ,オリエンタルチエン工業,オリチェン,ｵﾘｴﾝﾀﾙﾁｴﾝｺｳｷﾞｮｳ,"ORIENTAL CHAIN MFG. CO., LTD.",OR.CHAN,電気製品,,E01581,319880000,機械,運搬建設内燃,東証,(13/ 7/16),100,"1,467,233",http://www.ocm.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/05 15:00,"1Q: 2025/08/07
2Q: 2025/11/05
3Q: 2025/02/06
通期: 2025/05/12",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6381,ｱﾈｽﾄ岩田,アネスト岩田,アネスト岩田,ｱﾈｽﾄｲﾜﾀ,ANEST IWATA CORP.,ANESTIW,産業機械,,E01554,312245000,機械,その他機械,東証,データなし,100,"41,745,505",http://www.anest-iwata.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/10 15:00,"1Q: 2025/08/08
2Q: 2025/11/10
3Q: 2025/02/10
通期: 2025/05/09",機械,東証ﾌﾟﾗｲﾑ,
6382,ﾄﾘﾆ工,トリニティ工業,トリニ工,ﾄﾘﾆﾃｨｺｳｷﾞｮｳ,TRINITY INDUSTRIAL CORP.,TRINITY,産業機械,,E01627,363700000,機械,化工機械,東証,データなし,100,"18,220,000",http://www.trinityind.co.jp/,3/末,9/末 3/末,3Q連: 2026/01/29 15:00,"1Q: 2025/07/31
2Q: 2025/10/31
3Q: 2025/01/29
通期: 2025/04/25",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6383,ダイフク,ダイフク,ダイフク,ﾀﾞｲﾌｸ,"DAIFUKU CO., LTD.",DAIFUKU,産業機械,,E01551,349740000,機械,運搬建設内燃,東証,データなし,100,"379,830,231",https://www.daifuku.com/jp/,12/末,6/末 12/末,本連: 2026/02/12 16:00,"1Q: 2025/05/13
2Q: 2025/08/07
3Q: 2025/11/11
通期: 2025/02/14",機械,東証ﾌﾟﾗｲﾑ,JPX日経400 日経300 日経500平均
6384,昭和真空,昭和真空,昭和真空,ｼｮｳﾜｼﾝｸｳ,"SHOWA SHINKU CO., LTD.",SSHINKU,産業機械,,E01719,336695000,機械,その他機械,東証,(13/ 7/16),100,"6,499,000",http://www.showashinku.co.jp,3/末,9/末 3/末,3Q連: 2026/02/10 16:00,"1Q: 2025/08/07
2Q: 2025/11/10
3Q: 2025/02/10
通期: 2025/05/12",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6387,サムコ,サムコ,サムコ,ｻﾑｺ,SAMCO INC.,SAMCO,電気製品設備,,E02060,332295000,機械,その他機械,東証,(13/ 7/16),100,"8,042,881",http://www.samco.co.jp,7/末,1/末 7/末,2Q単: 2026/03/12 15:30,"1Q: 2025/12/11
2Q: 2025/03/12
3Q: 2025/06/11
通期: 2025/09/10",機械,東証ﾌﾟﾗｲﾑ,
6390,加藤製,加藤製作所,加藤製,ｶﾄｳｾｲｻｸｼｮ,"KATO WORKS CO., LTD.",KATO WK,建設・農業機械,,E01583,321380000,機械,運搬建設内燃,東証,データなし,100,"11,743,587",http://www.kato-works.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/13 15:00,"1Q: 2025/08/08
2Q: 2025/11/13
3Q: 2025/02/13
通期: 2025/05/14",機械,東証ﾌﾟﾗｲﾑ,
6391,加地ﾃｯｸ,加地テック,加地テック,ｶﾁﾞﾃｯｸ,KAJI TECHNOLOGY CORP.,KAJITEC,産業機械,,E01529,321220000,機械,繊維機械,東証,(13/ 7/16),100,"1,718,000",http://www.kajitech.com/,3/末,3/末,3Q単: 2026/01/30,"1Q: 2025/07/31
2Q: 2025/10/31
3Q: 2025/01/31
通期: 2025/04/30",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6392,ヤマダ,ヤマダコーポレーション,ヤマダコーポ,ﾔﾏﾀﾞｺｰﾎﾟﾚｰｼｮﾝ,YAMADA CORP.,YAMADA,産業機械,,E02180,393860000,機械,化工機械,東証,データなし,100,"2,400,000",http://www.yamadacorp.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/13 13:00,"1Q: 2025/10/03
2Q: 2025/11/13
3Q: 2025/02/07
通期: 2025/05/12",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6393,油研工,油研工業,油研工,ﾕｹﾝｺｳｷﾞｮｳ,"YUKEN KOGYO CO., LTD.",YUKENKG,産業機械,,E01612,394800000,機械,化工機械,東証,データなし,100,"4,510,676",http://www.yuken.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/12 15:00,"1Q: 2025/08/08
2Q: 2025/11/10
3Q: 2025/02/10
通期: 2025/05/15",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6395,タダノ,タダノ,タダノ,ﾀﾀﾞﾉ,TADANO LTD.,TADANO,建設・農業機械,"四国機工
ニューエラー
タダノ",E01613,346500000,機械,運搬建設内燃,東証,データなし,100,"129,500,355",http://www.tadano.co.jp/,12/末,6/末 12/末,本連: 2026/02/10 15:00,"1Q: 2025/05/09
2Q: 2025/08/08
3Q: 2025/11/07
通期: 2025/02/14",機械,東証ﾌﾟﾗｲﾑ,
6396,宇野鉄,宇野澤組鐵工所,宇野鉄,ｳﾉｻﾞﾜｸﾞﾐﾃｯｺｳｼｮ,"UNOZAWA-GUMI IRON WORKS, LTD.",UNOZAWA,産業機械,,E01635,315800000,機械,化工機械,東証,データなし,100,"1,120,000",http://www.unozawa.co.jp/,3/末,9/末 3/末,3Q単: 2026/02/13 14:00,"1Q: 2025/08/08
2Q: 2025/11/13
3Q: 2025/02/13
通期: 2025/05/14",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ 名証ﾒｲﾝ,
6400,不二精機,不二精機,不二精機,ﾌｼﾞｾｲｷ,"FUJI SEIKI CO., LTD.",FUJSEKI,産業機械,,E02462,381510000,機械,その他機械,東証,(13/ 7/16),100,"9,054,000",http://www.fujiseiki.com,12/末,6/末 12/末,本連: 2026/02/13 15:00,"1Q: 2025/05/15
2Q: 2025/08/08
3Q: 2025/11/14
通期: 2025/02/14",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6402,兼松ｴﾝｼﾞ,兼松エンジニアリング,兼松エンジ,ｶﾈﾏﾂｴﾝｼﾞﾆｱﾘﾝｸﾞ,"KANEMATSU ENGINEERING CO., LTD.",KANEENG,自動車,,E01721,321730000,機械,その他機械,東証,(13/ 7/16),100,"5,564,000",http://www.kanematsu-eng.jp/,3/末,9/末 3/末,3Q単: 2026/02/06 15:00,"1Q: 2025/08/05
2Q: 2025/11/06
3Q: 2025/02/07
通期: 2025/05/12",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6403,水道機,水道機工,水道機,ｽｲﾄﾞｳｷｺｳ,"SUIDO KIKO KAISHA, LTD.",SUIDO K,産業機械,,E01646,339580000,機械,化工機械,東証,(13/ 7/16),100,"4,295,968",http://www.suiki.co.jp,3/末,9/末 3/末,3Q連: 2026/02/05 16:00,"1Q: 2025/08/07
2Q: 2025/11/06
3Q: 2025/02/06
通期: 2025/05/08",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6405,鈴茂器工,鈴茂器工,鈴茂器工,ｽｽﾞﾓｷｺｳ,"SUZUMO MACHINERY CO., LTD.",SUZUMO,産業機械,,E01724,339870000,機械,その他機械,東証,(13/ 7/16),100,"12,960,000",http://www.suzumo.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/13 15:00,"1Q: 2025/08/08
2Q: 2025/11/14
3Q: 2025/02/14
通期: 2025/05/13",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6406,ﾌｼﾞﾃｯｸ,フジテック,フジテック,ﾌｼﾞﾃｯｸ,"FUJITEC CO., LTD.",FUJITEC,産業機械,,E01622,381880000,機械,その他機械,東証,データなし,100,"78,900,000",http://www.fujitec.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/06 17:00,"1Q: 2025/08/08
2Q: 2025/11/07
3Q: 2025/02/06
通期: 2025/05/14",機械,東証ﾌﾟﾗｲﾑ,
6407,ＣＫＤ,ＣＫＤ,ＣＫＤ,ｼｰｹｰﾃﾞｨ,CKD CORP.,CKD,産業機械,,E01909,334680000,機械,工作機械,東証,データなし,100,"67,909,449",https://www.ckd.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/13 15:00,"1Q: 2025/08/08
2Q: 2025/11/14
3Q: 2025/02/14
通期: 2025/05/13",機械,東証ﾌﾟﾗｲﾑ 名証ﾌﾟﾚﾐｱ,日経500平均
6408,小倉ｸﾗ,小倉クラッチ,クラッチ,ｵｸﾞﾗｸﾗｯﾁ,"OGURA CLUTCH CO., LTD.",OGURA C,自動車部品：OEM,,E01647,319520000,機械,その他機械,東証,(13/ 7/16),100,"1,553,323",http://www.oguraclutch.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/12 15:00,"1Q: 2025/08/08
2Q: 2025/11/12
3Q: 2025/02/12
通期: 2025/05/14",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6412,平  和,平和,平和,ﾍｲﾜ,HEIWA CORP.,HEIWA,映画・娯楽,"ＰＧＭホールディングス
オリンピア
パシフィックゴルフグループインターナショナルホールディングス
平和",E02403,383420000,機械,その他機械,東証,データなし,100,"99,809,060",http://www.heiwanet.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/10 15:00,"1Q: 2025/08/08
2Q: 2025/11/13
3Q: 2025/02/07
通期: 2025/05/14",機械,東証ﾌﾟﾗｲﾑ,日経300 日経500平均
6413,理想科,理想科学工業,理想科学,ﾘｿｳｶｶﾞｸｺｳｷﾞｮｳ,RISO KAGAKU CORP.,RISO,コンピューター周辺機器,,E02410,397440000,機械,その他機械,東証,(06/12/28),100,"72,000,000",http://www.riso.co.jp,3/末,9/末 3/末,3Q連: 2026/02/03 16:00,"1Q: 2025/07/31
2Q: 2025/11/05
3Q: 2025/01/31
通期: 2025/05/09",機械,東証ﾌﾟﾗｲﾑ,
6417,SANKYO,ＳＡＮＫＹＯ,ＳＡＮＫＹＯ,ｻﾝｷｮｳ,"SANKYO CO., LTD.",SANKYOP,コングロマリット,,E02419,332641000,機械,その他機械,東証,(95/ 8/30),100,"260,000,000",http://www.sankyo-fever.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/05 11:00,"1Q: 2025/08/07
2Q: 2025/11/06
3Q: 2025/02/04
通期: 2025/05/12",機械,東証ﾌﾟﾗｲﾑ,JPX日経400 日経500平均
6418,金銭機,日本金銭機械,日金銭,ﾆﾎﾝｷﾝｾﾝｷｶｲ,"JAPAN CASH MACHINE CO., LTD.",J CASHC,コングロマリット,,E01698,369780000,機械,他電気機器,東証,(00/12/18),100,"29,672,651",http://www.jcm-hq.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/06 15:00,"1Q: 2025/08/08
2Q: 2025/11/05
3Q: 2025/02/06
通期: 2025/05/09",電気機器,東証ﾌﾟﾗｲﾑ,
6419,ﾏｰｽGHD,マースグループホールディングス,マースＧＨＤ,ﾏｰｽｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ,MARS GROUP HOLDINGS CORP.,MARSGHD,カジノ・ギャンブル,"マースグループホールディングス
東研
マースエンジニアリング",E02424,386022000,機械,事務機,東証,(96/ 9/13),100,"22,720,000",http://www.mars-ghd.co.jp/,3/末,9/末 3/末,3Q連: 2026/01/30 16:00,"1Q: 2025/07/30
2Q: 2025/10/30
3Q: 2025/01/30
通期: 2025/05/14",機械,東証ﾌﾟﾗｲﾑ,
6420,ガリレイ,ガリレイ,ガリレイ,ｶﾞﾘﾚｲ,"GALILEI CO., LTD.",GALILEI,産業機械,"ガリレイ
フクシマガリレイ
省研
福島工業",E02006,380515000,機械,その他機械,東証,(02/ 4/15),100,"44,132,320",https://www.galilei.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/04 16:00,"1Q: 2025/08/07
2Q: 2025/11/13
3Q: 2025/02/13
通期: 2025/05/07",機械,東証ﾌﾟﾗｲﾑ,
6424,高見ｻｲ,高見沢サイバネティックス,高見サイ,ﾀｶﾐｻﾜｻｲﾊﾞﾈﾃｨｯｸｽ,"TAKAMISAWA CYBERNETICS CO., LTD.",TAKAM C,電子装置・機器,,E02025,345830000,機械,その他機械,東証,(13/ 7/16),100,"4,525,000",http://www.tacy.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/13 16:00,"1Q: 2025/08/08
2Q: 2025/11/14
3Q: 2025/02/14
通期: 2025/05/14",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6425,ﾕﾆﾊﾞｰｻﾙ,ユニバーサルエンターテインメント,ユニバーサル,ﾕﾆﾊﾞｰｻﾙｴﾝﾀｰﾃｲﾝﾒﾝﾄ,UNIVERSAL ENTERTAINMENT CORP.,UNIVERSL,コングロマリット,,E02452,312613000,機械,その他機械,東証,(13/ 7/16),100,"80,195,000",http://www.universal-777.com/,12/末,6/末 12/末,本連: 2026/02/12,"1Q: 2025/05/14
2Q: 2025/08/07
3Q: 2025/11/13
通期: 2025/02/13",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6428,ｵｰｲｽﾞﾐ,オーイズミ,オーイズミ,ｵｰｲｽﾞﾐ,OIZUMI CORP.,OIZUMI,コングロマリット,,E01718,317010000,機械,その他機械,東証,(02/ 3/12),100,"22,500,000",http://www.oizumi.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/13 16:00,"1Q: 2025/08/08
2Q: 2025/11/13
3Q: 2025/02/13
通期: 2025/05/14",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6430,ﾀﾞｲｺｸ電,ダイコク電機,ダイコク電機,ﾀﾞｲｺｸﾃﾞﾝｷ,"DAIKOKU DENKI CO., LTD.",DAIKOKU,情報技術サービス,"ＤＩＸＥＯ
ダイコク電機",E02073,348310000,機械,その他機械,東証,(02/11/ 6),100,"14,818,175",http://www.daikoku.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/12,"1Q: 2025/08/08
2Q: 2025/11/14
3Q: 2025/02/13
通期: 2025/05/15",機械,東証ﾌﾟﾗｲﾑ 名証ﾌﾟﾚﾐｱ,
6432,竹内製作,竹内製作所,竹内製作所,ﾀｹｳﾁｾｲｻｸｼｮ,"TAKEUCHI MFG.CO., LTD.",TAKEUCH,建設・農業機械,,E01723,346266000,機械,運搬建設内燃,東証,(13/ 7/16),100,"48,999,000",http://www.takeuchi-mfg.co.jp/,2/末,8/末 2/末,3Q連: 2026/01/13,"1Q: 2025/07/10
2Q: 2025/10/10
3Q: 2026/01/13
通期: 2025/04/11",機械,東証ﾌﾟﾗｲﾑ,JPX日経400
6433,ﾋｰﾊｲｽﾄ,ヒーハイスト,ヒーハイスト,ﾋｰﾊｲｽﾄ,"HEPHAIST CO., LTD.",HEPHAIST,金属加工,,E01727,378305000,機械,軸受,東証,(13/ 7/16),100,"6,316,700",http://www.hephaist.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/12 15:00,"1Q: 2025/08/08
2Q: 2025/11/12
3Q: 2025/02/12
通期: 2025/05/15",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6436,アマノ,アマノ,アマノ,ｱﾏﾉ,AMANO CORP.,AMANO,電子装置・機器,,E01590,312440000,機械,事務機,東証,データなし,100,"71,106,129",http://www.amano.co.jp/,3/末,9/末 3/末,3Q連: 2026/01/30 15:00,"1Q: 2025/07/25
2Q: 2025/10/29
3Q: 2025/01/31
通期: 2025/04/24",機械,東証ﾌﾟﾗｲﾑ,JPX日経400 日経300
6440,JUKI,ＪＵＫＩ,ＪＵＫＩ,ｼﾞｭｰｷ,JUKI CORP.,JUKI,産業機械,,E01596,339040000,機械,ミシン・編機,東証,データなし,100,"29,874,179",http://www.juki.co.jp/,12/末,6/末 12/末,本連: 2026/02/12 13:00,"1Q: 2025/05/13
2Q: 2025/08/07
3Q: 2025/11/13
通期: 2025/02/13",機械,東証ﾌﾟﾗｲﾑ,
6444,サンデン,サンデン,サンデン,ｻﾝﾃﾞﾝ,SANDEN CORP.,SANDEN,産業機械,"サンデン
サンデンホールディングス
三和",E01913,333640000,機械,化工機械,東証,データなし,100,"111,693,313",https://www.sanden.co.jp/,12/末,6/末 12/末,本連: 2026/02/13 16:00,"1Q: 2025/05/15
2Q: 2025/08/08
3Q: 2025/11/14
通期: 2025/02/14",機械,東証ｽﾀﾝﾀﾞｰﾄﾞ,
6445,ジャノメ,ジャノメ,ジャノメ,ｼﾞｬﾉﾒ,JANOME CORP.,JANOME,電化製品,,E01595,338940000,機械,ミシン・編機,東証,データなし,100,"18,108,605",https://www.janome.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/06 15:00,"1Q: 2025/08/08
2Q: 2025/11/14
3Q: 2025/02/07
通期: 2025/05/09",機械,東証ﾌﾟﾗｲﾑ,
6448,ブラザー,ブラザー工業,ブラザー,ﾌﾞﾗｻﾞｰｺｳｷﾞｮｳ,"BROTHER INDUSTRIES, LTD.",BRTH.IN,コンピューター周辺機器,"エクシング
ブラザー工業",E01594,383000000,電気機器,他電気機器,東証,データなし,100,"257,755,930",http://www.brother.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/06 15:00,"1Q: 2025/08/06
2Q: 2025/11/10
3Q: 2025/02/06
通期: 2025/05/09",電気機器,東証ﾌﾟﾗｲﾑ 名証ﾌﾟﾚﾐｱ,JPX日経400 日経300 日経500平均
6454,マックス,マックス,マックス,ﾏｯｸｽ,"MAX CO., LTD.",MAX,産業機械,,E02381,386480000,機械,事務機,東証,データなし,100,"46,537,426",http://www.max-ltd.co.jp/,3/末,3/末,3Q連: 2026/01/30 15:00,"1Q: 2025/07/31
2Q: 2025/10/31
3Q: 2025/01/31
通期: 2025/04/30",機械,東証ﾌﾟﾗｲﾑ,
6455,モリタHD,モリタホールディングス,モリタＨＤ,ﾓﾘﾀﾎｰﾙﾃﾞｨﾝｸﾞｽ,MORITA HOLDINGS CORP.,MORITAHD,自動車,"モリタホールディングス
モリタ
宮田工業
森田ポンプ",E01653,392560000,輸送用機器,その他機械,東証,データなし,100,"46,918,542",http://www.morita119.com/,3/末,9/末 3/末,3Q連: 2026/01/30 15:00,"1Q: 2025/07/31
2Q: 2025/10/31
3Q: 2025/01/31
通期: 2025/04/25",機械,東証ﾌﾟﾗｲﾑ,
